Time (s),USB Avg Power (mW)
495.6044,1838.4
495.6064,1838.4
495.6084,1840.8
495.6104,1838.4
495.6124,1838.4
495.6144,1838.4
495.6164,1840.8
495.6184,1807.2001
495.6204,1840.8
495.6224,1838.4
495.6244,1838.4
495.6264,1836.0001
495.6284,1838.4
495.6304,1836.0001
495.6324,1838.4
495.6344,1836.0001
495.6364,1838.4
495.6384,1840.8
495.6404,1838.4
495.6424,1836.0001
495.6444,1836.0001
495.6464,1838.4
495.6484,1840.8
495.6504,1838.4
495.6524,1838.4
495.6544,1838.4
495.6564,1838.4
495.6584,1840.8
495.6604,1838.4
495.6624,1838.4
495.6644,1838.4
495.6664,1840.8
495.6684,1840.8
495.6704,1840.8
495.6724,1838.4
495.6744,1838.4
495.6764,1838.4
495.6784,1840.8
495.6804,1838.4
495.6824,1836.0001
495.6844,1836.0001
495.6864,1838.4
495.6884,1838.4
495.6904,1836.0001
495.6924,1838.4
495.6944,1838.4
495.6964,1838.4
495.6984,1840.8
495.7004,1836.0001
495.7024,1838.4
495.7044,1838.4
495.7064,1838.4
495.7084,1838.4
495.7104,1838.4
495.7124,1838.4
495.7144,1838.4
495.7164,1838.4
495.7184,1838.4
495.7204,1838.4
495.7224,1836.0001
495.7244,1836.0001
495.7264,1838.4
495.7284,1838.4
495.7304,1838.4
495.7324,1836.0001
495.7344,1836.0001
495.7364,1840.8
495.7384,1838.4
495.7404,1838.4
495.7424,1838.4
495.7444,1840.8
495.7464,1838.4
495.7484,1838.4
495.7504,1836.0001
495.7524,1838.4
495.7544,1836.0001
495.7564,1838.4
495.7584,1838.4
495.7604,1838.4
495.7624,1838.4
495.7644,1838.4
495.7664,1840.8
495.7684,1840.8
495.7704,1840.8
495.7724,1838.4
495.7744,1838.4
495.7764,1838.4
495.7784,1838.4
495.7804,1838.4
495.7824,1838.4
495.7844,1838.4
495.7864,1838.4
495.7884,1840.8
495.7904,1838.4
495.7924,1838.4
495.7944,1881.6001
495.7964,1838.4
495.7984,1840.8
495.8004,1836.0001
495.8024,1838.4
495.8044,1838.4
495.8064,1838.4
495.8084,1840.8
495.8104,1838.4
495.8124,1836.0001
495.8144,1838.4
495.8164,1840.8
495.8184,1840.8
495.8204,1838.4
495.8224,1838.4
495.8244,1836.0001
495.8264,1838.4
495.8284,1840.8
495.8304,1838.4
495.8324,1838.4
495.8344,1838.4
495.8364,1840.8
495.8384,1838.4
495.8404,1838.4
495.8424,1836.0001
495.8444,1876.8
495.8464,1838.4
495.8484,1838.4
495.8504,1836.0001
495.8524,1838.4
495.8544,1838.4
495.8564,1838.4
495.8584,1840.8
495.8604,1840.8
495.8624,1838.4
495.8644,1838.4
495.8664,1840.8
